Cluster Id,Count,Cluster Words,Indices
the avengers,258,"the avengers, the hangover, the avengers 1, the avenger, the whale",[]
none,87,none,[]
home alone,69,home alone,[]
teenage mutant ninja turtles the turtles are famous for their love of pizza,69,"teenage mutant ninja turtles, teenage mutant ninja turtles the turtles are famous for their love of pizza",[]
nan,66,nan,[]
spider man spider verse,64,"spiderman, spiderman no way home, spiderman into the spiderverse, spider man spider verse, spiderman across the spiderverse",[]
ratatoullie,56,"ratatouille, ratatoullie",[]
jiro dreams of sushi,37,"jiro dreams of sushi, jiro dreams of sush, jiro dreams of sushi east side sushi finding nemo",[]
cloudy with a chance of meatballs,30,"cloudy with a chance of meatballs, cloudy with a chance of meatball, cloudy with a chance of meatballs again shawarmas dont appear in that though but hey its food",[]
monsters inc,25,"monsters inc, monster house, monster inc, monster",[]
spirited away,24,"spirited away, spirited away 2001, spirit away",[]
rush hour 2,23,"rush hour, rush hour 3, rush hour 2, rush hour series",[]
finding nemo,21,finding nemo,[]
alladin,19,"aladdin, alladin, aladdin idk",[]
fast and furious,18,"fast furious, fast and furious, fast furious tokyo drift",[]
your name 2016,17,"your name, your name 2016",[]
japanese movies,17,"japanese movies, japanese, japanese movies food documentaries, japanese movie",[]
john wick 4,16,"john wick, john wick 4",[]
cars 2,16,"cars, cars 2, cars 3",[]
deadpool and wolverine,15,"deadpool, deadpool and wolverine",[]
kill bill,14,kill bill,[]
the dictator,14,the dictator,[]
kung fu panda,13,"kungfu panda, kung fu panda",[]
the godfather,12,the godfather,[]
isle of dogs,9,isle of dogs,[]
anime i guess,8,"any american movie, anime, anime i guess, anime movie",[]
garfield,8,garfield,[]
wolverine,8,wolverine,[]
borat,8,borat,[]
madagascar 2,8,"madagascar, madagascar 2",[]
crazy rich asians,8,crazy rich asians,[]
toy story,8,toy story,[]
shrek2,8,"shrek, shrek2, shrek3",[]
harry potter,7,"harry potter, harry poter",[]
star wars,7,star wars,[]
breaking bad not a movie,7,"breaking bad, breaking bad not a movie",[]
godzilla,7,godzilla,[]
middle eastern movie,7,"middle east movie, middle eastern movies, middle eastern movie",[]
bullet train,7,bullet train,[]
back to the future 2,7,"back to the future, back to the future 2, back to the future part 2",[]
karate kid ii,6,"karate kid, karate kid ii",[]
transformers,6,"transformer, transformers",[]
the big short,6,"the big lebowski, the big sick, the big short",[]
big hero 6,6,big hero 6,[]
the goofy movie,5,"the goofy movie, the lego movie, the barbie movie, the dora movie, the emoji movie",[]
the samurai,5,"the last samurai, the samurai, 7 samurai",[]
memoirs of a geisha,5,"memoirs of a geisha, memory of a geisha",[]
interstellar,5,interstellar,[]
lost in translation,5,lost in translation,[]
shawarma legend,5,"shawarma legend, shawarma bowl",[]
mission impossible dead reckoning part one,5,"mission impossible, mission impossible dead reckoning part one",[]
chef,5,chef,[]
the italian job,5,the italian job,[]
five nights at freddys,5,five nights at freddys,[]
iron man,4,iron man,[]
pizza,4,pizza,[]
superbad,4,superbad,[]
mulan,4,mulan,[]
howls moving castle,4,howls moving castle,[]
shark tale,4,shark tale,[]
the kite runner,4,"the kite runner, the intern",[]
scott pilgrim vs the world,4,"scott pilgrim vs the world, scott pilgrim",[]
dangal,4,dangal,[]
the breakfast club,4,the breakfast club,[]
barbie 2021,4,"barbie, barbie 2021",[]
squid game,4,squid game,[]
green book,4,green book,[]
food wars,4,food wars,[]
johnny english,4,johnny english,[]
my neighbour totoro,4,"my neighbour totoro, my neighbor totoro",[]
little italy,4,little italy,[]
dune,4,dune,[]
pengnuins of madagascar,3,"penguins of madagascar, pengnuins of madagascar",[]
the karate kid,3,the karate kid,[]
turning red,3,turning red,[]
shang chi,3,"shangchi, shanghai noon, shang chi",[]
midnight dinner,3,"midnight diner, midnight dinner",[]
3 idiots,3,3 idiots,[]
doraemon,3,doraemon,[]
mystic pizza,3,mystic pizza,[]
godfather,3,godfather,[]
pokemon,3,pokemon,[]
drange,3,"dragon, drange",[]
21 jump street,3,21 jump street,[]
blade runner,3,"bladerunner, blade runner",[]
comedy movie,3,"comedy, comedy movie",[]
eat pray love,3,eat pray love,[]
pulp fiction,3,pulp fiction,[]
men in black,3,men in black,[]
parasite,3,parasite,[]
mario movie,3,mario movie,[]
oppenheimer,3,oppenheimer,[]
grown ups,3,grown ups,[]
ponyo,3,ponyo,[]
inception,3,inception,[]
goodfellas,3,goodfellas,[]
the mummy,3,"the mummy, the menu",[]
pirates of the carribeans,3,"pirates of the carribeans, pirates of the caribbean",[]
oldboy,3,oldboy,[]
a quiet place day one 2024,2,"a quiet place day one 2024, a quiet place 2",[]
life if pi,2,"life of pi, life if pi",[]
the fast and the furious tokyo drift,2,the fast and the furious tokyo drift,[]
kodoku no gurume,2,kodoku no gurume,[]
aquaman,2,aquaman,[]
47 ronin,2,47 ronin,[]
spongebob,2,spongebob,[]
lucy,2,"luca, lucy",[]
crazy stupid love,2,crazy stupid love,[]
the truman show,2,the truman show,[]
indiana jones,2,"indiana jones, indian movie",[]
lawrence of arabia,2,lawrence of arabia,[]
the dark knight,2,the dark knight,[]
recep ivedik 2,2,recep ivedik 2,[]
james bond 007,2,"james bond 007, james bond",[]
mean girls,2,mean girls,[]
zootopia,2,zootopia,[]
lord of the rings,2,lord of the rings,[]
the grinch,2,the grinch,[]
friends,2,friends,[]
diary of a wimpy kid rodrick rules,2,"diary of a wimpy kid rodrick rules, diary of a wimpy kid",[]
set it up,2,set it up,[]
scary movie 4 2006,2,"scary movie 4 2006, scary movie",[]
romantic movies,2,"romance movie, romantic movies",[]
a silent voice 2016,2,"a silent voice 2016, a silent voice",[]
wolf of wall street,2,"wolf of wall street, wolf of wallstreet",[]
slumdog millionaire,2,slumdog millionaire,[]
crayon shinchan the movie,2,"crayon shinchan the movie, crayon shinchan",[]
the boy and the herron,2,"the boy and the heron, the boy and the herron",[]
everything everywhere all at once,2,everything everywhere all at once,[]
masterchef,2,masterchef,[]
dictator,2,dictator,[]
taxi driver,2,taxi driver,[]
black hawk down,2,black hawk down,[]
how to lose a guy in 10 days,2,how to lose a guy in 10 days,[]
the proposal,2,"the proposal, the room",[]
weathering with you,2,weathering with you,[]
gladiator,2,gladiator,[]
captain of america,2,"captain of america, captain america",[]
lion king,2,lion king,[]
fight club,2,fight club,[]
minions,2,minions,[]
the social network,2,the social network,[]
documentary,2,"documenary, documentary",[]
you dont mess with the zohan,2,you dont mess with the zohan,[]
cartoon movie,2,"cartoon movie, cartoons",[]
jaws,2,jaws,[]
naruto,2,naruto,[]
despicable me,2,despicable me,[]
high school musical 3,2,"high school musical 3, high school musical",[]
shangchi and the legend of the ten rings,2,"shangchi and the legend of the ten rings, shang chi the legend of ten rings",[]
totoro,2,totoro,[]
one piece film gold,2,"one piece, one piece film gold",[]
action movie,2,action movie,[]
shinchan the movie chounouryoku daikessen tobe tobe temakizushi,1,shinchan the movie chounouryoku daikessen tobe tobe temakizushi,[]
fallen angels,1,fallen angels,[]
shogun,1,shogun,[]
love hard,1,love hard,[]
train to busan,1,train to busan,[]
pacific rim,1,pacific rim,[]
casablanca,1,casablanca,[]
django unchained,1,django unchained,[]
ip man,1,ip man,[]
billions tv show,1,billions tv show,[]
hunger,1,hunger,[]
la la land,1,la la land,[]
dead silence,1,dead silence,[]
a goofy movie the disney movie,1,a goofy movie the disney movie,[]
rick and morty,1,rick and morty,[]
all sort of american young boy movies,1,all sort of american young boy movies,[]
jurassic park,1,jurassic park,[]
the end of evangelion,1,the end of evangelion,[]
little forest a japanese film,1,little forest a japanese film,[]
the lord of the rings the fellowship of the ring,1,the lord of the rings the fellowship of the ring,[]
once upon a time in hollywood,1,once upon a time in hollywood,[]
drive,1,drive,[]
good will hunting,1,good will hunting,[]
forest gump,1,forest gump,[]
legend of shawama,1,legend of shawama,[]
bahen,1,bahen,[]
arcane,1,arcane,[]
wicked,1,wicked,[]
cleopatra,1,cleopatra,[]
bad boys,1,bad boys,[]
son of babylon,1,son of babylon,[]
any bollywood movie,1,any bollywood movie,[]
batman the dark knight,1,batman the dark knight,[]
seven samurai,1,seven samurai,[]
frozen,1,frozen,[]
liz and the blue bird,1,liz and the blue bird,[]
my hero academia,1,my hero academia,[]
gone girl,1,gone girl,[]
rurouni kenshin,1,rurouni kenshin,[]
eternal sunshine of the spotless mind,1,eternal sunshine of the spotless mind,[]
the pacific,1,the pacific,[]
the perfect storm,1,the perfect storm,[]
khabi khushi khabi gham,1,khabi khushi khabi gham,[]
monty python,1,monty python,[]
gossip girl,1,gossip girl,[]
harold and kumar,1,harold and kumar,[]
prince of egypt,1,prince of egypt,[]
babylon,1,babylon,[]
the boys,1,the boys,[]
2012,1,2012,[]
the little mermaid,1,the little mermaid,[]
big big wolf,1,big big wolf,[]
ghibli movies,1,ghibli movies,[]
suits,1,suits,[]
1001 nights,1,1001 nights,[]
titanic,1,titanic,[]
the invisible guest,1,the invisible guest,[]
argo,1,argo,[]
hawkeye,1,hawkeye,[]
anjaana anjaani,1,anjaana anjaani,[]
liquorice pizza,1,liquorice pizza,[]
hitman,1,hitman,[]
suzume,1,suzume,[]
talented,1,talented,[]
koe no katachi,1,koe no katachi,[]
passengers2016,1,passengers2016,[]
girls trip,1,girls trip,[]
samurai jack,1,samurai jack,[]
short movie because i eat it fast,1,short movie because i eat it fast,[]
harold kumar go to white castle,1,harold kumar go to white castle,[]
the wicked,1,the wicked,[]
life is beautiful,1,life is beautiful,[]
soul,1,soul,[]
free guy,1,free guy,[]
30 minutes or less,1,30 minutes or less,[]
relaxing comedy,1,relaxing comedy,[]
carryon,1,carryon,[]
gran turismo,1,gran turismo,[]
any kind really probably something more relaxed for leisure,1,any kind really probably something more relaxed for leisure,[]
futurama benders big score,1,futurama benders big score,[]
uncle grandpa,1,uncle grandpa,[]
breakaway,1,breakaway,[]
the ritual,1,the ritual,[]
the super mario bros movie,1,the super mario bros movie,[]
murder mystery,1,murder mystery,[]
mr deeds,1,mr deeds,[]
saving private ryan,1,saving private ryan,[]
wizards of waverly place movie,1,wizards of waverly place movie,[]
yakuza,1,yakuza,[]
snowpiercer,1,snowpiercer,[]
detective conan,1,detective conan,[]
terminator,1,terminator,[]
anchorman,1,anchorman,[]
malena,1,malena,[]
maze runner,1,maze runner,[]
neverending story,1,neverending story,[]
die hard,1,die hard,[]
back in action,1,back in action,[]
happy gilmore,1,happy gilmore,[]
gilmore girls,1,gilmore girls,[]
the gentlemen,1,the gentlemen,[]
ready player one there is pacman inside and pizza looks like one,1,ready player one there is pacman inside and pizza looks like one,[]
this is the end,1,this is the end,[]
friday,1,friday,[]
american pie,1,american pie,[]
i think of movies that ive watch with either my friends or my siblings,1,i think of movies that ive watch with either my friends or my siblings,[]
the princess diaries,1,the princess diaries,[]
horror movie,1,horror movie,[]
step brothers,1,step brothers,[]
space jam,1,space jam,[]
do the right thing,1,do the right thing,[]
scific type,1,scific type,[]
waynes world,1,waynes world,[]
any movie set in new york,1,any movie set in new york,[]
the hunger games,1,the hunger games,[]
the davinci code,1,the davinci code,[]
coraline,1,coraline,[]
hangover or any teen party movies which features a lot of sweet stuff,1,hangover or any teen party movies which features a lot of sweet stuff,[]
moneyball,1,moneyball,[]
venom,1,venom,[]
running man,1,running man,[]
spy kids 3d,1,spy kids 3d,[]
walle,1,walle,[]
princess diaries the apology scene,1,princess diaries the apology scene,[]
scooby doo,1,scooby doo,[]
13 hours,1,13 hours,[]
11sep,1,11sep,[]
coco,1,coco,[]
hangover,1,hangover,[]
time of happiness,1,time of happiness,[]
kingdom of heaven,1,kingdom of heaven,[]
the road to fallujah,1,the road to fallujah,[]
angry birds,1,angry birds,[]
alien,1,alien,[]
nosferatu,1,nosferatu,[]
us,1,us,[]
drishyam,1,drishyam,[]
pursuit of happyness,1,pursuit of happyness,[]
chinese zodiac,1,chinese zodiac,[]
ferris buellers day off,1,ferris buellers day off,[]
taken 2,1,taken 2,[]
mad max,1,mad max,[]
shawshank redemption,1,shawshank redemption,[]
cheech chong,1,cheech chong,[]
dabba,1,dabba,[]
yeh jawaani hai deewani,1,yeh jawaani hai deewani,[]
south park the end of obesity,1,south park the end of obesity,[]
the prince of egypt,1,the prince of egypt,[]
mandoob,1,mandoob,[]
the lion king,1,the lion king,[]
shazam,1,shazam,[]
three idiots,1,three idiots,[]
my cousin vinny,1,my cousin vinny,[]
air bud,1,air bud,[]
stranger things,1,stranger things,[]
inside out,1,inside out,[]
whiplash,1,whiplash,[]
meitantei konan,1,meitantei konan,[]
king kong,1,king kong,[]
futurama,1,futurama,[]
murder on the orient express,1,murder on the orient express,[]
made in abyss dawn of the deep soul,1,made in abyss dawn of the deep soul,[]
notting hill,1,notting hill,[]
wags,1,wags,[]
9,1,9,[]
gi joe,1,gi joe,[]
who am i jackie chan,1,who am i jackie chan,[]
house md,1,house md,[]
burnt,1,burnt,[]
bollywood,1,bollywood,[]
sonic the hedgehog,1,sonic the hedgehog,[]
mamma mia,1,mamma mia,[]
chandni chowk to china,1,chandni chowk to china,[]
east side sushi,1,east side sushi,[]
heretic,1,heretic,[]
breakfast club,1,breakfast club,[]
the spy next door,1,the spy next door,[]
haikyu,1,haikyu,[]
alitathe warrior,1,alitathe warrior,[]
city hunter,1,city hunter,[]
last samurai,1,last samurai,[]
who am i 2005,1,who am i 2005,[]
good time,1,good time,[]
pearl harbour,1,pearl harbour,[]
ultraman rising,1,ultraman rising,[]
the meg 2018,1,the meg 2018,[]
kikis delivery service,1,kikis delivery service,[]
